text_segment,calculated_level
告訴你，她的名字教臺灣， 是甜蜜的糖的王國， 是童話一樣美麗的，美麗的寶島。,2
【楊喚詩集】童詩：毛毛是個好孩子 楊喚 駕著太陽的金車， 打著雲彩的傘， 夏天先生到人間旅行來了。 來了，來了， 蟬兒第一個通知了可愛的孩子們。 來了，來了， 南風也跟著告訴了搖著扇子的芭蕉。 向日葵真是個大傻瓜， 夏天就在他的身旁， 他還是每天向太陽問候夏天的消息。 蜜蜂頑皮地飛到東又飛到西， 見著花朵就問一句： 「討厭的夏天又來了， 你知道不知道？」 喇叭花早就知道夏天從那兒來，,2
她塗得滿臉都是脂粉， 歡喜地爬出籬笆等著迎接他。 小荷花看著小魚兒高興地捉迷藏， 她躲在河邊只是靜靜地笑。 小草有月亮媽媽給他蓋上露珠的被， 就是再熱的晚上， 他也能安靜地睡。 青蛙們最怕熱， 一天到晚鼓起肚皮大聲地罵。 夏天先生是毛毛的好朋友： 在早晨，好孩子都醒了， 洗過臉就要到公園裡去散步， 夏天先生就讓小麻雀做使者， 輕輕地把她從遙遠的夢裡喚回來； 在晚上，燈火都睡了，,2
恐毛毛看著黑洞洞的屋子要害怕， 夏天先生就讓小蝙蝠做守衛， 飛來飛去地不離開她的家。 毛毛是個好孩子， 她有一套漂亮的小夏裝， 她有爸爸買給她的紙扇兒和紅瓤的冰西瓜， 有小貓小狗陪她玩， 還有很多很多的好朋友。 毛毛不怕天氣熱， 她永遠是那麼快活地遊戲， 那麼用心地讀書， 那麼大聲地唱歌。,2
【楊喚詩集】童詩：小紙船 楊喚 你就快點摺起一個小紙船罷， 別捨不得一張白色的勞作紙呀， 再用你五彩的蠟筆 畫上一個歪戴著白帽子的小水手。 小蟋蟀是去參加一個音樂會， 要過河去唱歌； 小螞蟻忙了一天想媽媽， 要過河趕回家。 你看，你看他們都等急啦！ 當那太陽先生向白天告別的時候， 當那雲彩小姐被吻得羞紅了臉， 當那蝌蚪孩子要躲在河床下休息， 就讓你的小紙船揚帆罷！ 讓它浮過小橋，,2
讓它輕輕浮過小橋， 可別驚醒了睡在小河上的晚霞。 快點划！快點划！ 千萬叮嚀你的小水手 別在半路上停了船哪， 別讓他靠了岸去給他的小戀人 採那開得金黃金黃的蒲公英花。 你該知道，這時候， 那熱鬧的音樂會上已經響過一遍嘹喨的小喇叭。 就是小螞蟻的媽媽也正焦急地等著他回去吃晚飯哪。 等那月姐兒向小河照鏡子； 等那星星們都頑皮地鑽出了頭， 等那夜風和小草低語的時候， 等那花朵都睡了，,2
等那蟲兒都睡了的時候， 螢火蟲也該提著燈籠來了， 讓他們迎接你的小紙船和那忠實的小水手， 平安地彎進那生遍蘆葦的靜靜的小港口！,2
【楊喚詩集】感謝 ──致安徒生 楊喚 你父親製的鞋子不能征服荊棘的路， 你母親的手也沒有洗淨人們的骯髒； 而你點起來的燈啊， 將永遠地，永遠地亮在這苦難的世界上。 在那北風嗚嗚地吹著大喇叭的冬夜， 我不會寂寞，更不覺得冷； 因為溫暖著我的有你的書的爐火， 坐在身旁的是那個賣火柴的小姑娘。 縱然那北方的春天曾拒絕我家的邀請， 我還是像雀鳥那樣快樂，太陽般的健康； 過去的牧豬奴已長成為一個戰士；,2
我這從農場裡出來的醜小鴨啊， 已生出一對天鵝的翅膀。 感謝你給我以你的童話的教室。 感謝你給我以你的心的蜜糖。 感謝你給我以愛情和營養。 今天，我要在我詩的小城裡完成一座偉大的建築， 那就是立起你這丹麥老人的銅像。,2
【楊喚詩集】童詩：水果們的晚會 楊喚 窗外流動著寶石藍色的夜， 屋子?流進來牛乳一樣白的月光， 水果店?的鐘當當地敲過了十二下， 美麗的水果們就都一齊醒過來， 請夜風指揮蟲兒們的樂隊來伴奏， 這奇異的晚會就開了場。 第一個是香蕉姑娘和風梨小姐的高山舞， 跳起來裙子就飄呀飄的那麼長： 緊接著是龍眼先生們來翻筋斗， 一起一落地劈啪響； 西瓜和甘蔗可真滑稽， 一隊胖來一隊瘦，怪模怪樣地演雙簧；,2
芒果和楊桃只會笑， 不停地喊好，不停地鼓掌。 鬧呀笑呀的真高興， 最後是全體水果們的大合唱， 他們唱醒了沉睡著的夜， 他們唱醒了沉睡著的雲彩， 也唱來了美麗的早晨， 唱出來了美麗的早晨的太陽。,2
【楊喚詩集】醒來 楊喚 是誰投我於這無邊的惡夢？ 是誰試煉我這昏眩的痛苦？ 像被盛進女巫的黑色的魔袋， 像迷失於叢林蒼莽的峽谷。 是誰冷熄了我的火熱的思想？ 是誰扭曲了我腳下的路？ 使我呀，折斷了豎琴和歌唱， 使我呀，遠離了我喜歡的風景和愛讀的書。 啊啊，我不知道，我不知道。 直到今天，我醒來，才發覺： 是我錯受了庸俗與醜惡的招待， 用一切去換取慾望的追求和貪婪的滿足。 今天，我醒來，,2
向蒼老的昨夜告別， 跪拜著迎接又一次的考驗， 今天，我醒來，我流下了懺悔的淚， 緊緊地擁抱住一個新的自己，放聲大哭。,3
【楊喚詩集】載重 楊喚 樹的愛情是忠實的， 她不能離開泥土和鄉村； 雲的生活是懶散的， 只知道悠閒的散步，愉快的旅行。 那麼，請載重的車出發吧！ 載著我們的夢想和希望， 穿過通往幸福的路， 馳向那遙遠的自由的城。,3
【楊喚詩集】童詩：七彩的虹 楊喚 接到太陽國王的大掃除的命令， 小雨點們就都坐上飛跑著的烏雲， 賽跑著離開了天上的宮廷。 他們給稻田和小河加足了水， 他們給骯髒的山谷洗過了澡， 就又來洗淨了清道夫永遠也掃不完的城市， 也洗淨了悶熱的飛滿了塵土的天空。 太陽國王為了獎賞他們真能幹， 就送給他們一條美麗的長彩帶， 那就是掛在明亮的雨後的天空中的 紅、橙、黃、綠、青、藍、紫的七彩的虹。,2
【楊喚詩集】鄉愁 楊喚 在從前，我是王，是快樂而富有的， 鄰家的公主是我美麗的妻。 我們收穫高梁的珍珠，玉蜀黍的寶石， 還有那掛滿在老榆樹上的金幣。 如今呢？如今我一貧如洗。 流行歌曲和霓虹燈使我的思想貧血。 站在神經錯亂的街頭， 我不知該走向哪裡。,3
【楊喚詩集】八月的斷想 楊喚 聽見了嗎？混濁的音樂溶解了， 又在不透明的黃昏的杯盞裡沉澱著， 有一群小精靈們舞蹈於流浪者的破帽簷上， 因縱情的戲謔而在吃吃地竊笑。 那個騎著黑驢的酒神已經遠從愛情海上來啦！ 我真擔心，擔心那些凋謝了繁花的園子， 還沒有成熟一串串釀酒的葡萄。 年青的，喜歡冒險的夢想家啊， 不要再攜著槳到銀河裡去試航了吧！ 紙紮的細工被昨夜的呼吸無救地摧殘，,3
生命的平面上需要鋼鐵的立體的創造。 把久違的朋友邀來，把生活的地圖展開， 我們精密地計畫著怎樣為秋天的列車， 在這丘陵地帶鋪設一條通往太陽的軌道。,3
【楊喚詩集】雨 楊喚 憂愁夫人的灰色的面紗， 快樂王子的痛苦的眼淚， 把屋子裡的太陽輕輕網住， 把我窗外的夜叮叮噹噹地敲響， 哎，我再也不能入睡，再也不能入睡。,2
【楊喚詩集】花與果實 楊喚 花是無聲的音樂， 果實是最動人的書籍， 當它們在春天演奏，秋天出版， 我的日子被時計的齒輪 給無情地嚙咬，絞傷； 庭中便飛散著我的心的碎片， 階下響起我的一片嘆息。,3
【楊喚詩集】雨中吟 楊喚 雨呀，密密地落著像森林， 我呀，匆匆地走著像獵人。 雨，不疲倦地落著， 我，不休息地走著。 踏著雨的音樂的節拍， 我追逐的那在召喚著我的名字的 歷史的嚴肅的聲音。,3
【楊喚詩集】童詩：快上學去吧 楊喚 －－快上學去吧！ 小書包發急地看著那越升越高的太陽。 －－快上學去吧！ 老鬧鐘也扯著嗓子大聲的嘆。 懶洋洋地看著天花板， 小弟弟裝做生病不起床。 蒙上頭，正想再睡， 忽聽得他們在開會： 眼睛說：很好！我要關起窗子永遠地休息！ 耳朵說：不錯！我要鎖起門來整年的睡！ 鼻子說：很好！我高興放長假！ 腳說：我也永遠不想再走路！ 手說：那我也永遠不想再工作！,2
小弟弟一聽著了慌， 一翻身就爬起來： 好！好！－－好！ 你們都別再吵， 我要做一個好孩子， 再也不懶惰！,2
【楊喚詩集】童詩：眼睛 楊喚 小黑貓有兩隻黃色的大眼睛， 在沒有月亮的晚上走路， 那兩隻大眼睛就是牠的燈。 小麻雀的眼睛最靈活， 歡歡喜喜地飛起來， 找著寂寞的孩子唱最快樂的歌給他聽。 小老鼠的眼睛在夜裡才睜開， 不敢走出來晒一晒太陽散一散步， 永遠要守著一個又黑又濕的小土洞。 媽媽的眼睛像太陽那樣溫暖，那樣亮， 她微笑地看著你，她永遠地祝福你， 因為你是她最心愛的寶貝兒。 你的眼睛是窗子，,2
要向著明亮的好太陽打開來呀！ 要向著藍色的天空打開來呀！ 要向著你要走的，也是最好的一條路打開來呀！ 別一看見書本就懶洋洋嚷：「喔！我的頭痛！」 然後緊緊閉上，如像那闔上的蚌殼。,2
【楊喚詩集】童詩：小螞蟻 楊喚 我們是一群不偷懶的小工人， 搬不動哥哥的故事書， 拉不走姐姐的花毛線， 我們來抬小妹妹吃剩下的碎餅屑。 下雨了， 有小菌子給我們撐起了最漂亮的傘； 過河了， 有花瓣兒給我們搖來了最穩當的船。,2
﻿靜靜的淡水河， 從廣大的田野流過， 帶來深山裡叢林的氣息。 松針和苔蘚把妳染綠了， 柔媚的綠色的淡水河！ 靜靜的淡水河， 從都市的邊緣流過， 帶來人群的快樂和奮勉。 晴空的映照把妳染藍了， 歡躍的藍色的淡水河！ 靜靜的淡水河， 在茫茫暮色裡流過， 帶來夕陽下大地的祥和。 晚霞的閃耀把妳染黃了， 美麗的金色的淡水河！ 靜靜的淡水河， 在點點星光下流過， 帶來深夜裡人間的安泰。,3
明月的凝視把妳染白了， 潔淨的銀色的淡水河！,2
【楊喚詩集】童詩：小蝸牛 楊喚 我馱著我的小房子走路， 我馱著我的小房子爬樹， 慢慢地，慢慢地 不急也不慌。 我馱著我的小房子旅行， 到處去拜訪， 拜訪那和花朵和小草們親嘴的太陽。 我要問問他： 為什麼他不來 照一照 我住的 那樣又濕又髒的鬼地方？,2
【楊喚詩集】童詩：肥皂之歌 楊喚 小朋友們，你們一定都會認識我， 說我是一塊好肥皂。 我不像那些穿得花花綠綠的香肥皂， 被擺在大百貨店高貴的櫥窗裡， 一生下來， 我就被工人們裝進一個粗糙的大木箱。 可是我很快樂， 我也很驕傲。 我願意幫助你們的媽媽辛苦地洗衣裳， 我更願意跟著你們快活地吹泡泡。 來，讓我們一起做一個好朋友吧！ 讓我每天替你們洗乾淨那又黑又髒的小手，,2
再高興地看著你們穿著洗得又乾淨又漂亮的衣裳 去上學校！,2
【楊喚詩集】童詩：給你寫一封信 楊喚 今天是星期日 （不下雨，不颳風，頂好頂好響晴的天氣） 你一定一早就跑出去了， 跟體的同學們， 東跑西跑地去吵架罵人， 嘴裡胡亂地吃東西， 一看起連環圖畫就什麼都不管了， 把一套剛穿上身的衣裳又弄得髒髒的， 不是跌破了頭就是打腫了臉， 活像豬八戒那個怪樣子。 別老是不理我們罷， 親愛的好朋友， 不，我們親愛的小主人！ 你該知道我們是多麼喜歡和你親近。,2
教科書在想著你， 筆記本在想著你， 我和刀片和橡皮不舒服地躺在文具盒裡， 也在想著你，想著你呀！ 雖然在你發脾氣的時候， 動不動就把我們從桌子上摔下去 （教科書教你給弄破了衣裳， 筆記本讓你給撕得亂七八糟， 橡皮到現在還害著皮膚病， 我和刀片差一點沒給你摔斷了腰，） 雖然爸爸和媽媽罵你是壞孩子， 老師也說你是一個糟糕透頂的壞學生。 你別老是不理我們罷！ 那管是用你那兩隻弄得又黑又髒的小手，,2
來親切地摸一摸我們也好。 教科書是聰明的好先生， 雖然他不會像連環圖畫那樣讓你喜歡， 但是他不會讓你在課堂上， 紅著臉翻白著眼睛答不出老師問你的問題； 我是一枝最好最好的鉛筆， 我跟筆記本和刀片和橡皮， 會熱心地幫助你做功課抄筆記。 你別老是不理我們罷！ 親愛的好朋友， 不，我們親愛的小主人！ 我們都在等著你， 在等著你。,2
虎姑婆 好久好久的故事 是媽媽告訴我 在好深好深的夜裡 會有虎姑婆 愛哭的孩子不要哭 他會咬你的小耳朵 不睡的孩子趕快睡 他會咬你的小指頭 還記得還記得 瞇著眼睛說 虎姑婆別咬我 乖乖的孩子睡著囉,2
【楊喚詩集】我是忙碌的 楊喚 我是忙碌的。 我是忙碌的。 我忙於搖醒火把， 我忙於雕塑自己； 我忙於擂動行動的鼓鈸， 我忙於吹響迎春的蘆笛； 我忙於拍發幸福的預報， 我忙於採訪真理的消息； 我忙於把生命的樹移植於戰鬥的叢林， 我忙於把發酵的血釀成愛的汁液。 直到有一天我死去， 像尾魚睡眠於微笑的池沼， 我才會熄燈休息， 我，才有個美好的完成， 如一冊詩集； 而那覆蓋著我的大地， 就是那詩集的封皮。,3
我是忙碌的。 我是忙碌的。,2
【楊喚詩集】童詩：小蜘蛛 楊喚 要黏住小蚊子討厭的尖嘴巴。 要黏住小蒼蠅亂飛的小翅膀。 蜜蜂姊姊小心呀， 可別飛到這裡來給我送蜜糖！ 風兒把落花吹上我的網， 露水把珍珠掛上我的網： 是漂亮的呀， 是我家。,2
【楊喚詩集】小時候 楊喚 小時候， 在哭聲裡長大， 讓我的日子永遠蒼白憂鬱。 從落後的鄉村走出來， 又跌落在都市的霓虹的燈彩裡。 我做過夢，寫過詩， 也愛過一個美麗多情的少女。,2
【楊喚詩集】童詩：下雨了 楊喚 下雨了。 太陽怕淋雨回家去休假。 火車怕淋雨忙著開向車站。 汽車和腳踏車還有老牛車也都忙著趕回家。 可憐的是那高大的電線桿和綠色的郵筒， 淋著雨站在街頭一動也不能動。 花朵和樹木都低頭流淚。 小鴨和小鵝浸在泥水裡玩得最高興。 麻雀躲在巢裡睡了覺。 小妹妹怕聽那轟隆轟隆的雷聲， 爬上床又蒙上被還捂緊了耳朵。 迎著風雨，只有勇敢的海燕， 不停地在海上向前飛行，飛行。,2
